word,frequency
coachman,3
childrens,3
wise,3
oak,3
detail,3
entreat,3
vastly,3
fireplace,3
ungenerous,3
direct,3
liberty,3
path,3
changed,3
ebony,3
delicacy,3
filling,3
independence,3
murder,3
kindest,3
handkerchief,3
disgust,3
resist,3
confusion,3
conference,3
catch,3
containing,3
suggest,3
detained,3
dearer,3
advances,3
apart,3
christmas,3
puzzle,3
papers,3
discovering,3
goes,3
ballroom,3
furnished,3
midnight,3
qualified,3
intercourse,3
origin,3
george,3
necessarily,3
exploring,3
generality,3
cheap,3
dreaded,3
ways,3
review,3
good-looking,3
resentful,3
author,3
injurious,3
persons,3
longing,3
reward,3
guided,3
blow,3
kingdom,3
unlooked-for,3
ill-timed,3
shillings,3
cursed,3
mischief,3
faster,3
politics,3
glimpse,3
removal,3
belonging,3
treating,3
laurentinas,3
thankfully,3
excursion,3
division,3
arise,3
influenced,3
extinguished,3
simplicity,3
slipped,3
insensibility,3
hill,3
induced,3
appearances,3
friday,3
fallen,3
story,3
breathless,3
storm,3
hotel,3
luckily,3
various,3
fate,3
parading,3
higher,3
try,3
cheek,3
abilities,3
intervals,3
counsel,3
range,3
gratifying,3
tetbury,3
allowing,3
obstinate,3
drinking,3
gaily,3
simpleton,3
confession,3
united,3
fortunate,3
camilla,3
choose,3
flew,3
affections,3
respects,3
strengthened,3
misunderstood,3
unaccountable,3
skinners,3
thousands,3
generations,3
cruel,3
english,3
sky,3
press,3
urged,3
good-bye,3
squeeze,3
selfish,3
below,3
goodness,3
sick,3
insipid,3
raining,2
woods,2
hanging,2
bringing,2
exclamations,2
unwillingness,2
successful,2
harmless,2
hole,2
accomplishment,2
pints,2
unjust,2
embellishments,2
specks,2
welcomed,2
kingsweston,2
admirably,2
fix,2
whip,2
millions,2
disturbed,2
instruct,2
legs,2
wisdom,2
positively,2
dozen,2
amusing,2
hereford,2
loitered,2
tempted,2
cousins,2
terrors,2
resigned,2
tyranny,2
demanded,2
mortified,2
confinement,2
contemplated,2
eighteen,2
tune,2
echoed,2
coldness,2
disguise,2
succeeding,2
good-humoured,2
possibly,2
occurring,2
pavement,2
effusion,2
bottom,2
losing,2
recollect,2
despair,2
slightly,2
match,2
beings,2
authorized,2
exist,2
protested,2
floor,2
circumstanced,2
intent,2
bustle,2
speculation,2
celebrated,2
studied,2
commonly,2
sonnets,2
virtue,2
originally,2
privy,2
pyrenees,2
varieties,2
conscious,2
consequently,2
pulled,2
incapacity,2
faults,2
stupidity,2
attraction,2
suspension,2
troubled,2
greatcoats,2
repaired,2
remainder,2
neglect,2
city,2
ridiculous,2
sophia,2
tasted,2
aside,2
remarks,2
gentleman-like,2
bade,2
imagined,2
uppermost,2
entreaties,2
dispute,2
rejoiced,2
mans,2
motives,2
enable,2
unsafe,2
pretence,2
defy,2
card-room,2
presumption,2
meat,2
satisfactory,2
cavity,2
image,2
complete,2
buying,2
flirt,2
tremble,2
incomprehensible,2
middling,2
tricks,2
impossibility,2
causes,2
paying,2
appointment,2
mammas,2
honourably,2
gouty,2
contrast,2
compliance,2
murdering,2
regiment,2
knocked,2
stated,2
lives,2
respective,2
footman,2
longtowns,2
flutter,2
locking,2
replies,2
symptoms,2
ruining,2
travelling,2
entire,2
begged,2
missed,2
darling,2
belief,2
definition,2
retained,2
arose,2
forwards,2
introduction,2
grace,2
bitter,2
sell,2
