token_	Corpus	Observations	p_value	Obs/Exp
little	Emma	361	0.00231539424592	1.25347222222
were	Pride and Prejudice	566	0.0406309577284	1.11417322835
were	Persuasion	425	0.00272013889871	1.22478386167
show	Northanger Abbey	10	0.0461358056962	3.33333333333
randalls	Emma	91	2.60586338929e-12	4.55
declared	Sense and Sensibility	27	0.0118457307471	2.25
among	Persuasion	39	0.0279258876383	1.69565217391
sensible	Persuasion	27	0.044194769087	1.8
those	Persuasion	72	0.0136620842982	1.53191489362
sudden	Northanger Abbey	19	0.043565051556	2.11111111111
same	Persuasion	83	0.0326576914804	1.38333333333
weymouth	Emma	17	0.00844844055139	3.4
astonishment	Pride and Prejudice	30	0.0113083896548	2.14285714286
acquainted	Persuasion	27	0.044194769087	1.8
chamber	Northanger Abbey	9	0.0327101551967	4.5
lodgings	Persuasion	11	0.0286813877637	3.66666666667
affection	Sense and Sensibility	79	0.00144051774658	1.75555555556
general	Northanger Abbey	130	2.27812748828e-11	2.95454545455
woodhouses	Emma	40	4.62495416357e-06	4.44444444444
tranquillity	Mansfield Park	19	0.0435723982553	2.11111111111
difference	Mansfield Park	46	0.0319594283337	1.58620689655
mothers	Sense and Sensibility	49	0.000545720077247	2.33333333333
speeches	Mansfield Park	19	0.00731476778975	3.16666666667
misery	Sense and Sensibility	28	0.0329849176197	1.86666666667
eye	Northanger Abbey	31	0.0129371095373	2.06666666667
distinct	Emma	10	0.0461393145552	3.33333333333
town	Sense and Sensibility	86	1.5814120586e-05	2.20512820513
town	Pride and Prejudice	64	0.011808012177	1.6
hour	Northanger Abbey	56	0.0033294509311	1.86666666667
coming	Emma	89	0.0317059157084	1.36923076923
churchills	Emma	45	1.02669858884e-06	4.5
through	Northanger Abbey	49	0.0283003399646	1.58064516129
good	Emma	314	0.0340339914583	1.16728624535
oxford	Northanger Abbey	13	0.0106321438785	4.33333333333
house	Sense and Sensibility	148	0.0125116765616	1.33333333333
idea	Emma	100	0.00824262385796	1.47058823529
harp	Mansfield Park	13	0.0481215709635	2.6
lovers	Mansfield Park	15	0.0391720868266	2.5
acting	Mansfield Park	40	0.000507428072119	2.66666666667
dont	Sense and Sensibility	24	0.0326126160761	2.0
twenty	Northanger Abbey	19	0.0144730143152	2.71428571429
mama	Sense and Sensibility	24	0.000272856627035	4.8
park	Sense and Sensibility	52	0.00139735768816	2.08
park	Mansfield Park	68	0.000492360483758	2.0
part	Mansfield Park	138	0.000892671857305	1.53333333333
orders	Mansfield Park	23	0.0287997499359	2.09090909091
extremely	Emma	66	3.22582947241e-05	2.44444444444
express	Pride and Prejudice	24	0.0494231145167	1.84615384615
please	Emma	35	0.0290213723008	1.75
ireland	Emma	14	0.0154396030717	3.5
discourse	Sense and Sensibility	19	0.00731413363067	3.16666666667
spent	Sense and Sensibility	38	0.0123643644623	1.9
dixon	Emma	39	7.60041962297e-06	4.33333333333
easter	Mansfield Park	12	0.0384027252609	3.0
addressed	Pride and Prejudice	17	0.0319508542639	2.42857142857
often	Pride and Prejudice	89	0.0169776641858	1.43548387097
back	Persuasion	68	0.00325034704867	1.74358974359
hoped	Mansfield Park	56	0.039465803029	1.47368421053
sort	Emma	112	0.000253716379137	1.72307692308
calmness	Sense and Sensibility	17	0.0173405561897	2.83333333333
papa	Emma	33	0.000629546324702	3.0
presently	Emma	22	0.0250455667104	2.2
putting	Persuasion	12	0.0383993688104	3.0
ride	Mansfield Park	17	0.0319523940618	2.42857142857
body	Emma	164	5.11245656638e-15	3.15384615385
others	Persuasion	58	0.0334862164509	1.48717948718
lamp	Northanger Abbey	10	0.00585798586358	10.0
mention	Pride and Prejudice	30	0.0270267448815	1.875
wholly	Pride and Prejudice	26	0.0100322816709	2.36363636364
frank	Emma	200	2.15435500433e-24	4.34782608696
explanation	Northanger Abbey	16	0.046557729889	2.28571428571
nobody	Emma	72	0.00317118303672	1.71428571429
have	Emma	1321	0.00110876485871	1.13099315068
unless	Pride and Prejudice	20	0.0307065202892	2.22222222222
beau	Sense and Sensibility	10	0.0192847516305	5.0
hartfield	Emma	159	2.16714727965e-20	4.54285714286
janes	Pride and Prejudice	28	0.000596141088847	3.5
taking	Mansfield Park	48	0.0464355410038	1.5
ah	Emma	48	0.000260463841153	2.52631578947
worthy	Emma	18	0.0377534730318	2.25
value	Persuasion	19	0.0435660676084	2.11111111111
partner	Northanger Abbey	25	0.00105012431446	3.57142857143
sisters	Sense and Sensibility	100	0.000519303927054	1.72413793103
sisters	Pride and Prejudice	114	2.56624960985e-05	1.9
judgment	Mansfield Park	42	0.024888144355	1.68
thought	Emma	226	0.0306029010816	1.20855614973
grandmama	Emma	11	0.0112291633418	5.5
like	Emma	197	0.0217226334411	1.24683544304
hair	Sense and Sensibility	18	0.0377514653552	2.25
about	Emma	249	0.0216574956687	1.21463414634
esteem	Sense and Sensibility	18	0.0216372350921	2.57142857143
repeated	Sense and Sensibility	28	0.0480556262387	1.75
minutes	Northanger Abbey	51	0.00914310684393	1.75862068966
pride	Pride and Prejudice	47	0.000377443488526	2.47368421053
every	Emma	435	2.63544558532e-05	1.34674922601
every	Sense and Sensibility	376	2.93994036715e-08	1.5601659751
harriet	Emma	415	6.25281414191e-50	4.4623655914
fairfax	Emma	210	4.28510204708e-26	4.46808510638
feelings	Mansfield Park	149	0.0380828734562	1.25210084034
would	Emma	820	0.0061541023599	1.13730929265
grief	Sense and Sensibility	12	0.0384014957725	3.0
must	Emma	571	0.000425541793541	1.23326133909
mr	Emma	1154	1.89291920795e-30	1.7223880597
mr	Pride and Prejudice	786	5.8612726106e-15	1.5442043222
my	Sense and Sensibility	628	0.00310827027533	1.17602996255
my	Pride and Prejudice	719	4.41071814219e-07	1.32169117647
elizabeth	Pride and Prejudice	597	2.39045354248e-79	5.14655172414
london	Pride and Prejudice	55	0.0378525504027	1.48648648649
saturday	Pride and Prejudice	17	0.0173406363579	2.83333333333
driving	Northanger Abbey	10	0.0461358056962	3.33333333333
wanted	Emma	76	0.0207988506683	1.46153846154
suckling	Emma	12	0.017576048203	4.0
days	Mansfield Park	82	0.0387937042498	1.36666666667
tom	Mansfield Park	79	1.35243812614e-10	4.38888888889
further	Northanger Abbey	22	0.00185808593062	3.66666666667
further	Pride and Prejudice	21	0.0353688767997	2.1
snow	Emma	16	0.00590769912577	4.0
though	Sense and Sensibility	216	0.0309823838188	1.21348314607
though	Pride and Prejudice	226	0.0144625736934	1.24861878453
watch	Northanger Abbey	12	0.0383988301202	3.0
wallis	Persuasion	30	3.07637160544e-06	7.5
wedding	Pride and Prejudice	14	0.0317789625227	2.8
farther	Sense and Sensibility	49	0.0153796915902	1.68965517241
henrys	Northanger Abbey	26	2.96930323769e-05	6.5
however	Northanger Abbey	99	0.0479178015334	1.30263157895
however	Sense and Sensibility	155	0.0145337919287	1.31355932203
news	Pride and Prejudice	32	0.0459403242468	1.68421052632
expense	Mansfield Park	24	0.0326151503544	2.0
been	Persuasion	496	2.22491743283e-05	1.32266666667
several	Pride and Prejudice	23	0.0447540821068	1.91666666667
mother	Sense and Sensibility	204	2.64205461848e-12	2.34482758621
campbell	Emma	43	6.99549999566e-06	3.90909090909
